web_scraper_order,web_scraper_start_url,links,question_links,question,anwer
"1775041447-1","https://epson.com/Support/Printers/All-In-Ones/ET-Series/Epson-ET-2400/s/SPT_C11CJ67201#questions","https://epson.com/Support/Printers/All-In-Ones/ET-Series/Epson-ET-2400/s/SPT_C11CJ67201#faq-8796127471692","https://epson.com/faq/SPT_C11CJ67201~faq-0000a05-shared?faq_cat=faq-topFaqs","What security measures does Epson recommend for its network products?","To help deter unauthorized access to your product over a network, you should protect your network environment using appropriate security measures.
Security measures such as these can help deter threats such as loss of user data, use of telephone and fax lines, and other intrusions:

	Enable security on your wireless LAN if your product supports a wireless connection
	Enable the appropriate security on the wireless LAN you plan to use with your product. Network security, such as a network password, can deter interception of traffic over the wireless LAN. Your router may already have a default password enabled by your Internet service provider (ISP). See your ISP and router documentation for instructions on how to change the default password and better secure your network.
	Connect your product only to a network protected by a firewall
	Connecting your product directly to the Internet may leave it vulnerable to security threats. Instead, connect it to a router or other networking device protected by a firewall. Your router may already have a firewall set up by your Internet service provider; check with your ISP for confirmation. For best results, set up and use a private IP address for your network connection.
	Change the default administrator password on your product
	If your product has an option to set an administrator password, change the default administrator password to deter access by unauthorized users to personal data stored on your product, such as IDs, passwords, and contact lists. See the product's User's Guide for more information."
"1775041450-2","https://epson.com/Support/Printers/All-In-Ones/ET-Series/Epson-ET-2400/s/SPT_C11CJ67201#questions","https://epson.com/Support/Printers/All-In-Ones/ET-Series/Epson-ET-2400/s/SPT_C11CJ67201#faq-8796127471692","https://epson.com/faq/SPT_C11CJ67201~faq-00004b8-shared?faq_cat=faq-topFaqs","Web pages don't print the way they appear on my monitor. What should I do?","The pages may not print correctly due to the web page design. Try the following:      Check for a Printer-friendly Version (or similarly named) option on the web page.    Change the page setup and paper size settings, and select the preview option in your browser to check the changes before you print."
"1775041453-3","https://epson.com/Support/Printers/All-In-Ones/ET-Series/Epson-ET-2400/s/SPT_C11CJ67201#questions","https://epson.com/Support/Printers/All-In-Ones/ET-Series/Epson-ET-2400/s/SPT_C11CJ67201#faq-8796127471692","https://epson.com/faq/SPT_C11CJ67201~faq-0000490-shared?faq_cat=faq-topFaqs","Why doesn't Epson include a USB or Ethernet cable in the box with the product?","We are committed to giving our customers the best value possible with every product we sell. To provide high-quality products with the latest technology and sell them at the most competitive prices, it is critical to choose which components are necessary and which may be redundant. Because many of our customers already own USB or Ethernet cables, it makes good sense to eliminate the costs of including a cable in every box and use those savings to improve product features and lower the cost to you, the consumer.      Note: Not all products support an Ethernet interface."
"1775041456-4","https://epson.com/Support/Printers/All-In-Ones/ET-Series/Epson-ET-2400/s/SPT_C11CJ67201#questions","https://epson.com/Support/Printers/All-In-Ones/ET-Series/Epson-ET-2400/s/SPT_C11CJ67201#faq-8796127471692","https://epson.com/faq/SPT_C11CJ67201~faq-00004c9-shared?faq_cat=faq-topFaqs","Scanning is slow to start when I select the Scan to Network Folder/FTP option on my product's control panel. What should I do?","To speed up scanning, use the computer or server's IP address (instead of the host name) in the location of the folder. Then try scanning again.      Example: \\123.456.7.890\network_folder"
"1775041460-5","https://epson.com/Support/Printers/All-In-Ones/ET-Series/Epson-ET-2400/s/SPT_C11CJ67201#questions","https://epson.com/Support/Printers/All-In-Ones/ET-Series/Epson-ET-2400/s/SPT_C11CJ67201#faq-8796127471692","https://epson.com/faq/SPT_C11CJ67201~faq-00004dc-shared?faq_cat=faq-topFaqs","Does Epson make drivers for Linux?","Linux drivers are available for some products. Visit the links below to see the drivers available for your product, as well as information about using an Epson product with Linux.      Note: Epson does not provide support for Linux drivers.        Linux drivers for Epson products      Linux FAQs for Epson products(only available in English)      Linux manuals for Epson products(only available in English)"
"1775041464-6","https://epson.com/Support/Printers/All-In-Ones/ET-Series/Epson-ET-2400/s/SPT_C11CJ67201#questions","https://epson.com/Support/Printers/All-In-Ones/ET-Series/Epson-ET-2400/s/SPT_C11CJ67201#faq-8796127471692","https://epson.com/faq/SPT_C11CJ67201~faq-00004db-shared?faq_cat=faq-topFaqs","Who do I contact for software support?","Click on the Contact Us tab on your product's support page to contact Epson for support. If your product comes with third-party software, contact the software company."
"1775041468-7","https://epson.com/Support/Printers/All-In-Ones/ET-Series/Epson-ET-2400/s/SPT_C11CJ67201#questions","https://epson.com/Support/Printers/All-In-Ones/ET-Series/Epson-ET-2400/s/SPT_C11CJ67201#faq-8796127471692","https://epson.com/faq/SPT_C11CJ67201~faq-00004fc-shared?faq_cat=faq-topFaqs","How do I obtain the latest product software for Windows or my Mac?","The following options are available:      You can use Epson Software Updater (which is installed the first time you install the printer driver) to notify you when new updates are available for download. Software Updater analyzes the Epson software (drivers, utilities, firmware, etc.) installed on your computer and product, and notifies you if new updates are available for download.    If you already installed a Windows printer driver, you can update the driver by selecting Software Update on the Maintenance tab in the printer driver settings window.    You can download the software from the Downloads tab on your product's support page."
"1775041472-8","https://epson.com/Support/Printers/All-In-Ones/ET-Series/Epson-ET-2400/s/SPT_C11CJ67201#questions","https://epson.com/Support/Printers/All-In-Ones/ET-Series/Epson-ET-2400/s/SPT_C11CJ67201#faq-8796127471692","https://epson.com/faq/SPT_C11CJ67201~faq-00004ba-shared?faq_cat=faq-topFaqs","How do I add my product as an IP printer on my Mac?","Do the following:      Open the  menu, select System Preferences or System Settings, and then select Print & Fax, Print & Scan, or Printers & Scanners.    Select your printer, if necessary.    Click + or Add Printer, Scanner, or Fax and select IP on the toolbar.    Select a protocol. If you do not know which protocol to choose, leave it as Line Printer Daemon-LPD.    Click the Address field and enter your printer's IP address. You see the message Gathering printer information as your Mac connects to the printer.    Click Add after your printer appears in the Use field to create a printer queue. If your printer does not appear in the Use field, select Auto Select from the drop-down box."
"1775041475-9","https://epson.com/Support/Printers/All-In-Ones/ET-Series/Epson-ET-2400/s/SPT_C11CJ67201#questions","https://epson.com/Support/Printers/All-In-Ones/ET-Series/Epson-ET-2400/s/SPT_C11CJ67201#faq-8796127471692","https://epson.com/faq/SPT_C11CJ67201~faq-0000b11-shared?faq_cat=faq-topFaqs","Can I set up my product for both a USB and network connection?","Yes, you can set up the product for both a USB and a wireless network connection at the same time. To set up both connections, you must install the product's software twice (i.e., once for each connection type).
Note: With this setup, your product may appear as two devices in the Printer list. One device is for the USB connection, and the other is for the network connection."
"1775041478-10","https://epson.com/Support/Printers/All-In-Ones/ET-Series/Epson-ET-2400/s/SPT_C11CJ67201#questions","https://epson.com/Support/Printers/All-In-Ones/ET-Series/Epson-ET-2400/s/SPT_C11CJ67201#faq-8796127471692","https://epson.com/faq/SPT_C11CJ67201~faq-00009c6-shared?faq_cat=faq-topFaqs","How do I find my SSID and network password?","In most cases, the software installer will automatically set up your wireless connection, so you don't need to know your SSID and password. However, if it cannot determine your SSID or password, you will be prompted to set up your wireless connection manually.      Check your router documentation for this information. Most routers have a default SSID and password that can be modified once the router is set up.      Note: The SSID is the name of the wireless network that is set up on your router or access point.      If you don't know this information, you need to contact the manufacturer of your router or the person who set up your network."
"1775041484-11","https://epson.com/Support/Printers/All-In-Ones/ET-Series/Epson-ET-2400/s/SPT_C11CJ67201#questions","https://epson.com/Support/Printers/All-In-Ones/ET-Series/Epson-ET-2400/s/SPT_C11CJ67201#faq-8796127635532","https://epson.com/faq/SPT_C11CJ67201~faq-0000b11-et2400?faq_cat=faq-8796127635532","Can I set up my product for both a USB and network connection?","Yes, you can set up the product for both a USB and a wireless network connection at the same time. To set up both connections, you must install the product's software twice (once for each connection type).
 Follow the setup instructions in our how-to video.
Note: With this setup, your product may appear as two devices in the Printer list. One device is for the USB connection, and the other is for the network connection."
"1775041487-12","https://epson.com/Support/Printers/All-In-Ones/ET-Series/Epson-ET-2400/s/SPT_C11CJ67201#questions","https://epson.com/Support/Printers/All-In-Ones/ET-Series/Epson-ET-2400/s/SPT_C11CJ67201#faq-8796127635532","https://epson.com/faq/SPT_C11CJ67201~faq-00007f3-et2400?faq_cat=faq-8796127635532","How do I connect my product to my wireless network using the product's control panel?","See the instructions in our how-to video or follow the instructions below.
Selecting Wireless Network Settings from the Control Panel
You can select or change wireless network settings using your product control panel.

To install your product on a wireless network, follow the instructions on the Start Here sheet and install the necessary software. The installer program guides you through network setup.

Note: Breakdown or repair of this product may cause loss of network data and settings. Epson is not responsible for backing up or recovering data and settings during or after the warranty period. We recommend that you make your own backup or print out your network data and settings.


	Press the  home button, if necessary.
	Press the arrow buttons to select Wi-Fi Setup and press the OK button. You see this screen:

	
	Press the arrow buttons to select Wi-Fi (Recommended) and press the OK button twice.
	Press the arrow buttons to select Wi-Fi Setup Wizard and press the OK button.
	Press the arrow buttons to select the name of your wireless network and press the OK button. If you do not see your wireless network's name, you can enter it manually.
	Note: To enter the wireless network name manually, select Other SSIDs and press the OK button. Enter your network name as described in the next step.
	Enter your wireless password (or network name and then password).

	
	
		To enter characters, press the buttons on the numeric keypad.
		To change the character case or type, select A1# or press the  reset button.
		To move the cursor to the right or add a space, press the right arrow button.
		To move the cursor to the left, press the left arrow button.
		To enter symbols, press 1 on the numeric keypad.
		To delete the previous character, select .
		When you finish entering characters, select OK and press the OK button.
	
	
	If you want to print a network setup report, press the  start button. (Otherwise, press the  stop button.) Your product should now display a blue  Wi-Fi icon on the LCD screen.
	Note: If the  Wi-Fi icon is not displayed on the LCD screen as shown above, you may have selected the wrong network name or entered the password incorrectly. Repeat these steps to try again."
