"question","answer"
"Apa yang harus dilakukan jika hasil cetak menunjukkan garis horizontal (banding) pada lembar output?","Banding horizontal biasanya disebabkan oleh nozzle yang tersumbat atau head alignment yang tidak tepat. Langkah penanganan: 1. Lakukan Head Cleaning melalui panel kontrol printer (Menu > Maintenance > Head Cleaning). 2. Cetak Nozzle Check Pattern untuk memverifikasi kondisi nozzle. 3. Jika masih ada gap, lakukan Head Alignment (Menu > Maintenance > Head Alignment). 4. Jika banding masih muncul setelah 3x cleaning, ganti print head sesuai prosedur penggantian komponen. K3: Pastikan printer dalam keadaan OFF sebelum membuka cover untuk inspeksi fisik. Referensi: QC-BAND-001"
"Bagaimana cara mendiagnosis nozzle yang tersumbat pada print head Epson?","Prosedur diagnosis nozzle tersumbat: 1. Cetak Nozzle Check Pattern (Menu > Maintenance > Nozzle Check). 2. Periksa pola — baris yang tidak lengkap atau putus menunjukkan nozzle tersumbat. 3. Lakukan Cleaning Cycle (Power Cleaning jika Standard Cleaning tidak berhasil setelah 3x percobaan). 4. Jika setelah Power Cleaning pola masih tidak sempurna, nozzle mungkin memerlukan pembersihan manual dengan cairan pembersih head khusus. 5. Jika tetap tidak berfungsi setelah pembersihan manual, unit dinyatakan REJECT untuk penggantian head. K3: Gunakan sarung tangan saat menangani cairan tinta atau solven. Referensi: HD-NOZZ-002"
"Apa penyebab tinta bocor dari cartridge atau ink tank pada printer Epson?","Kebocoran tinta dapat disebabkan oleh: 1. Segel cartridge rusak atau tidak terpasang dengan benar. 2. Ink tank diisi terlalu penuh melebihi batas MAX. 3. Retak pada body cartridge akibat benturan. 4. Valve atau damper rusak pada sistem ink delivery. Langkah penanganan: 1. Matikan printer dan lepaskan cartridge/tank. 2. Periksa secara visual adanya retak atau segel yang lepas. 3. Bersihkan sisa tinta dengan kain microfiber bebas lint. 4. Ganti cartridge atau seal jika ditemukan kerusakan. 5. Untuk ink tank system (EcoTank), periksa kondisi tube dan valve. K3: Gunakan sarung tangan dan pastikan ventilasi ruangan baik saat membersihkan tinta. Referensi: INK-LEAK-003"
"Bagaimana cara menangani kertas yang macet (paper jam) di lini perakitan?","Prosedur penanganan paper jam: 1. Matikan printer dan tunggu 30 detik sebelum membuka cover. 2. Buka cover akses paper jam (biasanya rear cover atau front cover). 3. Tarik kertas dengan gerakan lurus — JANGAN menarik secara diagonal karena dapat merusak roller. 4. Periksa apakah ada sobekan kertas yang tertinggal di dalam printer. 5. Setelah kertas dikeluarkan, periksa kondisi roller dengan memutar secara manual. 6. Jika roller terasa slip atau kaku, lakukan pembersihan dengan kain lembab bebas lint. 7. Nyalakan kembali dan uji dengan kertas baru. K3: Jangan memaksa menarik kertas, dapat menyebabkan cedera jari. Referensi: PP-JAM-004"
"Apa yang menyebabkan printer menghasilkan cetakan buram atau kurang tajam?","Cetakan buram dapat disebabkan oleh: 1. Resolusi cetak diatur terlalu rendah (draft mode). 2. Nozzle tersumbat sebagian. 3. Kualitas kertas tidak sesuai (terlalu menyerap). 4. Head alignment tidak akurat. 5. Tinta hampir habis atau kualitas tinta rendah. Langkah penanganan: 1. Cek pengaturan kualitas cetak — pastikan tidak dalam mode Draft/Economy. 2. Lakukan Nozzle Check dan Head Cleaning jika diperlukan. 3. Lakukan Head Alignment. 4. Gunakan kertas original Epson atau kertas yang sesuai spesifikasi. 5. Ganti cartridge jika level tinta rendah. Referensi: QC-BLUR-005"
"Bagaimana prosedur penggantian print head pada printer Epson lini perakitan?","Prosedur penggantian print head: 1. Matikan printer dan lepaskan kabel power. Tunggu 5 menit. 2. Buka cover atas printer. 3. Pindahkan carriage ke posisi tengah secara manual. 4. Lepaskan konektor kabel fleksibel print head — tekan latch sebelum menarik. 5. Lepaskan baut pengunci head (biasanya 2 baut). 6. Angkat print head lama dengan hati-hati. 7. Pasang print head baru — pastikan posisi alignment pin masuk dengan benar. 8. Kencangkan baut pengunci. 9. Pasang kembali kabel fleksibel. 10. Nyalakan printer dan lakukan Initial Charge dari menu maintenance. K3: Gunakan gelang anti-statik. Simpan print head lama dalam wadah antistatik. Referensi: MAINT-HEAD-006"
"Apa yang dimaksud dengan defect color inconsistency dan bagaimana cara mengatasinya?","Color inconsistency adalah kondisi di mana warna hasil cetak tidak konsisten antar halaman atau antar printer unit. Penyebab: 1. ICC profile tidak dikalibrasi. 2. Level tinta berbeda antar unit. 3. Kondisi nozzle berbeda (sebagian tersumbat). 4. Variasi suhu ruangan berpengaruh pada viskositas tinta. Penanganan: 1. Lakukan Color Calibration dari menu printer. 2. Pastikan semua cartridge dari batch yang sama dan level tinta cukup (>20%). 3. Lakukan Nozzle Check dan cleaning jika ada perbedaan pola. 4. Periksa suhu ruangan (optimal 15-25°C) dan kelembapan (40-60% RH). 5. Jika unit masih tidak konsisten, kirim untuk kalibrasi ulang. Referensi: QC-COLOR-007"
"Bagaimana cara memeriksa dan membersihkan encoder strip pada printer Epson?","Encoder strip adalah pita transparan yang dibaca sensor untuk menentukan posisi carriage. Gejala kotor: carriage bergerak tidak presisi, hasil cetak bergeser. Prosedur: 1. Matikan printer dan lepaskan power. 2. Buka cover printer dan temukan encoder strip (pita tipis transparan memanjang horizontal). 3. Inspeksi visual — cari noda tinta atau goresan. 4. Bersihkan dengan cotton swab yang dibasahi isopropyl alcohol 90%+. 5. Usap satu arah dari kiri ke kanan — JANGAN menggosok bolak-balik. 6. Biarkan mengering sempurna sebelum menutup cover. K3: Jangan menyentuh encoder strip dengan jari telanjang. Referensi: MAINT-ENC-008"
"Apa yang harus dilakukan jika sensor kertas (paper sensor) memberikan error false alarm?","False alarm pada paper sensor dapat menyebabkan printer berhenti meski kertas tersedia. Penyebab: debu atau tinta kering. Prosedur: 1. Matikan printer. 2. Buka akses ke area paper sensor. 3. Bersihkan sensor optik dengan cotton swab kering — JANGAN menggunakan cairan. 4. Periksa kondisi fisik sensor — pastikan tidak ada keretakan atau kotoran menempel. 5. Uji dengan kertas standar 80gsm. 6. Jika masih error, ukur tegangan output sensor dengan multimeter (nilai normal 3.2-3.8V). 7. Jika tegangan di luar range, ganti sensor. Referensi: SENS-PAPER-009"
"Bagaimana prosedur standar pengecekan kualitas pada akhir lini perakitan printer?","Standar Quality Check (QC) akhir lini: 1. Power-on test: pastikan printer menyala normal tanpa error code. 2. Nozzle Check Pattern: semua nozzle harus 100% aktif tanpa gap. 3. Alignment test: cetak alignment pattern dan verifikasi skor. 4. Color test: cetak color chart dan bandingkan dengan master reference. 5. Media handling test: uji feeding kertas plain. 6. Network test (jika berlaku): verifikasi koneksi WiFi/LAN. 7. Acoustic test: dengarkan suara abnormal saat printing. 8. Final visual inspection: cek body. Status: PASS jika semua 8 poin lolos, REWORK jika ada 1-2 poin gagal ringan, REJECT jika gagal pada poin 2, 3, atau 4. Referensi: QC-FINAL-010"
